Strain,Year,Date Collected,CT value,Count,Species,Country,State,County,Library Preparation Approach,Sequencing Approach,Sequencing Platform,Pathoplexus_Accession,NCBI_Accession,,completeness,,length
UNMC0001,2013,7/10/2013,24.3,50,Culex tarsalis,United States,Nebrsaka,Scotts Bluff,IDT xGen WNV,Illumina,MiniSeq,PP_00331YT.1,OZ310068.1,,0.9302747302565962,,10260
UNMC0002,2023,6/26/2023,29.3,13,Culex,United States,Nebrsaka,Dodge,IDT xGen WNV,Illumina,MiniSeq,PP_00331ZR.1,OZ310067.1,,0.9007162934082873,,10174
UNMC0003,2023,6/26/2023,15.5,9,Culex,United States,Nebrsaka,Lancaster,IDT xGen WNV,Illumina,MiniSeq,PP_003320P.1,OZ309960.1,,0.9302747302565962,,10260
UNMC0004,2023,6/26/2023,26,50,Culex tarsalis,United States,Nebrsaka,Red Willow,IDT xGen WNV,Illumina,MiniSeq,PP_003321M.1,OZ310180.1,,0.9302747302565962,,10260
UNMC0005,2023,7/5/2023,28.3,50,Culex tarsalis,United States,Nebrsaka,Box Butte,IDT xGen WNV,Illumina,MiniSeq,PP_003322K.1,OZ310097.1,,0.9303654003082782,,10261
UNMC0006,2023,7/5/2023,20.4,50,Culex tarsalis,United States,Nebrsaka,Box Butte,IDT xGen WNV,Illumina,MiniSeq,PP_003323H.1,OZ309995.1,,0.8977241817027836,,10185
UNMC0007,2012,7/16/2012,24.7,50,Culex tarsalis,United States,Nebrsaka,Madison,IDT xGen WNV,Illumina,MiniSeq,PP_003324F.1,OZ310015.1,,0.9302747302565962,,10260
UNMC0008,2022,8/22/2022,18.7,28,Culex tarsalis,United States,Nebrsaka,Wayne,IDT xGen WNV,Illumina,MiniSeq,PP_003325D.1,OZ310012.1,,0.9302747302565962,,10260
UNMC0009,2022,8/22/2022,19.8,50,Culex,United States,Nebrsaka,Adams,IDT xGen WNV,Illumina,MiniSeq,PP_003326B.1,OZ310216.1,,0.9302747302565962,,10260
UNMC0010,2022,8/22/2022,20.2,50,Culex,United States,Nebrsaka,Adams,IDT xGen WNV,Illumina,MiniSeq,PP_0033279.1,OZ310017.1,,0.9303654003082782,,10261
UNMC0011,2022,8/29/2022,20.3,50,Culex tarsalis,United States,Nebrsaka,Dawson,IDT xGen WNV,Illumina,MiniSeq,PP_0033287.1,OZ310104.1,,0.9225677758636323,,10175
UNMC0012,2022,8/29/2022,19.2,32,Culex tarsalis,United States,Nebrsaka,Dakota,IDT xGen WNV,Illumina,MiniSeq,PP_0033295.1,OZ310014.1,,0.9302747302565962,,10260
UNMC0013,2022,9/6/2022,17.9,18,Culex,United States,Nebrsaka,Dodge,IDT xGen WNV,Illumina,MiniSeq,PP_00332A3.1,OZ309989.1,,0.9303654003082782,,10261
UNMC0014,2022,9/6/2022,19.4,16,Culex tarsalis,United States,Nebrsaka,Lancaster,IDT xGen WNV,Illumina,MiniSeq,PP_00332B1.1,OZ309965.1,,0.9302747302565962,,10260
UNMC0015,2022,9/12/2022,20.4,50,Culex,United States,Nebrsaka,Adams,IDT xGen WNV,Illumina,MiniSeq,PP_00332CZ.1,OZ310225.1,,0.9302747302565962,,10260
UNMC0016,2022,9/12/2022,20.8,18,Culex tarsalis,United States,Nebrsaka,Garfield,IDT xGen WNV,Illumina,MiniSeq,PP_00332DX.1,OZ310026.1,,0.9302747302565962,,10260
UNMC0017,2022,9/12/2022,20.3,50,Culex,United States,Nebrsaka,Hall,IDT xGen WNV,Illumina,MiniSeq,PP_00332EV.1,OZ310221.1,,0.9320881312902348,,10280
UNMC0018,2017,8/9/2017,25.3,50,Culex tarsalis,United States,Nebrsaka,Scotts Bluff,IDT xGen WNV,Illumina,MiniSeq,PP_00332FT.1,OZ310084.1,,0.9303654003082782,,10261
UNMC0019,2014,8/15/2014,25.5,13,Culex pipiens,United States,Nebrsaka,Red Willow,IDT xGen WNV,Illumina,MiniSeq,PP_00332GR.1,OZ309983.1,,0.9224771058119503,,10174
UNMC0020,2018,9/4/2018,23.2,50,Culex tarsalis,United States,Nebrsaka,Adams,IDT xGen WNV,Illumina,MiniSeq,PP_00332HN.1,OZ310210.1,,0.9310907607217336,,10269
UNMC0022,2012,7/16/2012,22.8,50,Culex tarsalis,United States,Nebrsaka,Madison,IDT xGen WNV,Illumina,iSeq,PP_00332JL.1,OZ310141.1,,0.9302747302565962,,10260
UNMC0024,2012,7/17/2012,23.7,50,Culex tarsalis,United States,Nebrsaka,Madison,IDT xGen WNV,Illumina,iSeq,PP_00332KJ.1,OZ310095.1,,0.9302747302565962,,10260
UNMC0025,2012,7/26/2012,24.2,50,Culex tarsalis,United States,Nebrsaka,Chase,IDT xGen WNV,Illumina,iSeq,PP_00332LG.1,OZ310103.1,,0.9302747302565962,,10260
UNMC0026,2012,7/26/2012,25.3,50,Culex tarsalis,United States,Nebrsaka,Chase,IDT xGen WNV,Illumina,iSeq,PP_00332ME.1,OZ310128.1,,0.9302747302565962,,10260
UNMC0028,2012,8/15/2012,25.2,42,Culex tarsalis,United States,Nebrsaka,Chase,IDT xGen WNV,Illumina,iSeq,PP_00332NC.1,OZ310208.1,,0.9302747302565962,,10260
UNMC0029,2012,8/15/2012,24.9,50,Culex tarsalis,United States,Nebrsaka,Chase,IDT xGen WNV,Illumina,iSeq,PP_00332PA.1,OZ310142.1,,0.9224771058119503,,10174
UNMC0031,2012,7/16/2012,23.69142658,50,Culex tarsalis,United States,Nebrsaka,Madison,IDT xGen WNV,Illumina,iSeq,PP_00332Q8.1,OZ310061.1,,0.9302747302565962,,10260
UNMC0032,2012,7/16/2012,23.40904806,50,Culex tarsalis,United States,Nebrsaka,Madison,IDT xGen WNV,Illumina,iSeq,PP_00332R6.1,OZ310107.1,,0.9302747302565962,,10260
UNMC0036,2012,7/26/2012,24.36480283,50,Culex tarsalis,United States,Nebrsaka,Madison,IDT xGen WNV,Illumina,iSeq,PP_00332S4.1,OZ310126.1,,0.9302747302565962,,10260
UNMC0037,2012,7/26/2012,23.74046761,50,Culex tarsalis,United States,Nebrsaka,Madison,IDT xGen WNV,Illumina,iSeq,PP_00332T2.1,OZ310007.1,,0.9302747302565962,,10260
UNMC0038,2012,7/26/2012,23.14056507,50,Culex tarsalis,United States,Nebrsaka,Madison,IDT xGen WNV,Illumina,iSeq,PP_00332U0.1,OZ310158.1,,0.9321788013419168,,10281
UNMC0040,2012,7/26/2012,21.54884788,50,Culex tarsalis,United States,Nebrsaka,Madison,IDT xGen WNV,Illumina,iSeq,PP_00332VY.1,OZ310157.1,,0.9302747302565962,,10260
UNMC0044,2012,7/26/2012,21.3660246,50,Culex tarsalis,United States,Nebrsaka,Madison,IDT xGen WNV,Illumina,iSeq,PP_00332WW.1,OZ310151.1,,0.9302747302565962,,10260
UNMC0045,2012,7/26/2012,23.61846485,50,Culex tarsalis,United States,Nebrsaka,Madison,IDT xGen WNV,Illumina,iSeq,PP_00332XU.1,OZ310135.1,,0.9302747302565962,,10260
UNMC0046,2012,7/26/2012,22.12738259,50,Culex tarsalis,United States,Nebrsaka,Madison,IDT xGen WNV,Illumina,iSeq,PP_00332YS.1,OZ310139.1,,0.9302747302565962,,10260
UNMC0049,2012,7/26/2012,24.35164107,50,Culex tarsalis,United States,Nebrsaka,Madison,IDT xGen WNV,Illumina,iSeq,PP_00332ZQ.1,OZ310219.1,,0.9302747302565962,,10260
UNMC0050,2012,7/26/2012,23.16704159,50,Culex tarsalis,United States,Nebrsaka,Madison,IDT xGen WNV,Illumina,iSeq,PP_003330N.1,OZ310205.1,,0.9302747302565962,,10260
UNMC0051,2012,7/26/2012,24.58011866,50,Culex tarsalis,United States,Nebrsaka,Madison,IDT xGen WNV,Illumina,iSeq,PP_003331L.1,OZ310138.1,,0.9302747302565962,,10260
UNMC0052,2012,8/3/2012,23.9525599,25,Culex tarsalis,United States,Nebrsaka,Holt,IDT xGen WNV,Illumina,iSeq,PP_003332J.1,OZ310109.1,,0.9302747302565962,,10260
UNMC0054,2012,8/15/2012,23.88217142,50,Culex tarsalis,United States,Nebrsaka,Chase,IDT xGen WNV,Illumina,iSeq,PP_003333G.1,OZ310106.1,,0.9303654003082782,,10261
UNMC0055,2012,8/15/2012,24.65357393,50,Culex tarsalis,United States,Nebrsaka,Chase,IDT xGen WNV,Illumina,iSeq,PP_003334E.1,OZ310162.1,,0.9302747302565962,,10260
UNMC0056,2012,8/15/2012,24.36768633,50,Culex tarsalis,United States,Nebrsaka,Chase,IDT xGen WNV,Illumina,iSeq,PP_003335C.1,OZ309985.1,,0.9316347810318252,,10275
UNMC0057,2012,8/15/2012,23.80642452,50,Culex tarsalis,United States,Nebrsaka,Chase,IDT xGen WNV,Illumina,iSeq,PP_003336A.1,OZ310228.1,,0.9302747302565962,,10260
UNMC0064,2012,7/25/2012,21.90260572,50,Culex tarsalis,United States,Nebrsaka,Scotts Bluff,IDT xGen WNV,Illumina,iSeq,PP_0033378.1,OZ310161.1,,0.9302747302565962,,10260
UNMC0065,2012,7/25/2012,24.81788773,50,Culex tarsalis,United States,Nebrsaka,Scotts Bluff,IDT xGen WNV,Illumina,iSeq,PP_0033386.1,OZ310204.1,,0.9302747302565962,,10260
UNMC0071,2012,8/8/2012,23.21690779,50,Culex tarsalis,United States,Nebrsaka,Scotts Bluff,IDT xGen WNV,Illumina,iSeq,PP_0033394.1,OZ310010.1,,0.9302747302565962,,10260
UNMC0072,2012,8/8/2012,23.68686477,50,Culex tarsalis,United States,Nebrsaka,Scotts Bluff,IDT xGen WNV,Illumina,iSeq,PP_00333A2.1,OZ310082.1,,0.9302747302565962,,10260
UNMC0074,2012,8/22/2012,21.93365858,50,Culex tarsalis,United States,Nebrsaka,Scotts Bluff,IDT xGen WNV,Illumina,iSeq,PP_00333B0.1,OZ310002.1,,0.9302747302565962,,10260
UNMC0075,2012,8/22/2012,24.68808933,50,Culex tarsalis,United States,Nebrsaka,Scotts Bluff,IDT xGen WNV,Illumina,iSeq,PP_00333CY.1,OZ310137.1,,0.9302747302565962,,10260
UNMC0077,2012,7/19/2012,19.5,19,Culex tarsalis,United States,Nebrsaka,Lincoln,IDT xGen WNV,Illumina,NovaSeq,PP_00333DW.1,OZ310044.1,,0.9302747302565962,,10260
UNMC0084,2012,7/25/2012,15.19909204,9,Culex tarsalis,United States,Nebrsaka,Dawes,IDT xGen WNV,Illumina,NovaSeq,PP_00333EU.1,OZ310170.1,,0.9313627708767794,,10272
UNMC0087,2012,8/1/2012,22.98755396,50,Culex tarsalis,United States,Nebrsaka,Lincoln,IDT xGen WNV,Illumina,NovaSeq,PP_00333FS.1,OZ310111.1,,0.9303654003082782,,10261
UNMC0088,2012,8/1/2012,21.81605315,50,Culex tarsalis,United States,Nebrsaka,Lincoln,IDT xGen WNV,Illumina,NovaSeq,PP_00333GQ.1,OZ310231.1,,0.9317254510835071,,10276
UNMC0092,2012,8/15/2012,22.80198671,50,Culex tarsalis,United States,Nebrsaka,Lincoln,IDT xGen WNV,Illumina,NovaSeq,PP_00333HM.1,OZ309015.1,,0.9335388521171457,,10296
UNMC0097,2012,8/30/2012,17.81918109,29,Culex tarsalis,United States,Nebrsaka,Lincoln,IDT xGen WNV,Illumina,NovaSeq,PP_00333JK.1,OZ310071.1,,0.9303654003082782,,10261
UNMC0099,2012,8/30/2012,22.25683094,39,Culex tarsalis,United States,Nebrsaka,Dawes,IDT xGen WNV,Illumina,NovaSeq,PP_00333KH.1,OZ310211.1,,0.9335388521171457,,10296
UNMC0100,2012,8/30/2012,22.81459705,50,Culex tarsalis,United States,Nebrsaka,Dawes,IDT xGen WNV,Illumina,NovaSeq,PP_00333LF.1,OZ310164.1,,0.9302747302565962,,10260
UNMC0104,2012,9/5/2012,25.00024634,50,Culex tarsalis,United States,Nebrsaka,Dawes,IDT xGen WNV,Illumina,NovaSeq,PP_00333MD.1,OZ310190.1,,0.9303654003082782,,10261
UNMC0106,2012,9/12/2012,16.19533032,17,Culex tarsalis,United States,Nebrsaka,Lincoln,IDT xGen WNV,Illumina,NovaSeq,PP_00333NB.1,OZ310088.1,,0.9313627708767794,,10272
UNMC0107,2012,9/12/2012,19.42705406,18,Culex tarsalis,United States,Nebrsaka,Dawes,IDT xGen WNV,Illumina,NovaSeq,PP_00333P9.1,OZ309984.1,,0.9335388521171457,,10296
UNMC0116,2012,8/6/2012,17.72569913,2,Culex tarsalis,United States,Nebrsaka,Lancaster,IDT xGen WNV,Illumina,NovaSeq,PP_00333Q7.1,OZ310153.1,,0.9335388521171457,,10296
UNMC0119,2012,8/15/2012,24.24368562,23,Culex tarsalis,United States,Nebrsaka,Douglas,IDT xGen WNV,Illumina,NovaSeq,PP_00333R5.1,OZ310030.1,,0.9318161211351891,,10277
UNMC0178,2014,7/25/2014,25.82370968,50,Culex tarsalis,United States,Nebrsaka,Adams,IDT xGen WNV,Illumina,NovaSeq,PP_00333S3.1,OZ310035.1,,0.9335388521171457,,10296
UNMC0180,2014,7/25/2014,29.23250896,50,Culex tarsalis,United States,Nebrsaka,Adams,IDT xGen WNV,Illumina,NovaSeq,PP_00333T1.1,OZ310212.1,,0.9301840602049143,,10260
UNMC0181,2014,7/25/2014,29.50380985,50,Culex tarsalis,United States,Nebrsaka,Madison,IDT xGen WNV,Illumina,NovaSeq,PP_00333UZ.1,OZ310110.1,,0.9302747302565962,,10260
