chrom	left_start	left_end	right_start	right_end
WestNile_1_50_consensus_40	2	22	108	124
WestNile_1_50_consensus_40	2	22	207	227
WestNile_1_50_consensus_40	2	22	317	335
WestNile_1_50_consensus_40	2	22	417	437
WestNile_1_50_consensus_40	2	22	506	530
WestNile_1_50_consensus_40	2	22	598	617
WestNile_1_50_consensus_40	2	22	665	683
WestNile_1_50_consensus_40	2	22	765	781
WestNile_1_50_consensus_40	2	22	884	904
WestNile_1_50_consensus_40	2	22	1000	1020
WestNile_1_50_consensus_40	2	22	1114	1132
WestNile_1_50_consensus_40	2	22	1202	1219
WestNile_1_50_consensus_40	2	22	1300	1318
WestNile_1_50_consensus_40	2	22	1409	1430
WestNile_1_50_consensus_40	2	22	1521	1538
WestNile_1_50_consensus_40	2	22	1625	1643
WestNile_1_50_consensus_40	2	22	1706	1723
WestNile_1_50_consensus_40	2	22	1788	1809
WestNile_1_50_consensus_40	2	22	1891	1911
WestNile_1_50_consensus_40	2	22	1950	1967
WestNile_1_50_consensus_40	77	96	108	124
WestNile_1_50_consensus_40	77	96	207	227
WestNile_1_50_consensus_40	77	96	317	335
WestNile_1_50_consensus_40	77	96	417	437
WestNile_1_50_consensus_40	77	96	506	530
WestNile_1_50_consensus_40	77	96	598	617
WestNile_1_50_consensus_40	77	96	665	683
WestNile_1_50_consensus_40	77	96	765	781
WestNile_1_50_consensus_40	77	96	884	904
WestNile_1_50_consensus_40	77	96	1000	1020
WestNile_1_50_consensus_40	77	96	1114	1132
WestNile_1_50_consensus_40	77	96	1202	1219
WestNile_1_50_consensus_40	77	96	1300	1318
WestNile_1_50_consensus_40	77	96	1409	1430
WestNile_1_50_consensus_40	77	96	1521	1538
WestNile_1_50_consensus_40	77	96	1625	1643
WestNile_1_50_consensus_40	77	96	1706	1723
WestNile_1_50_consensus_40	77	96	1788	1809
WestNile_1_50_consensus_40	77	96	1891	1911
WestNile_1_50_consensus_40	77	96	1950	1967
WestNile_1_50_consensus_40	77	96	2056	2073
WestNile_1_50_consensus_40	188	205	207	227
WestNile_1_50_consensus_40	188	205	317	335
WestNile_1_50_consensus_40	188	205	417	437
WestNile_1_50_consensus_40	188	205	506	530
WestNile_1_50_consensus_40	188	205	598	617
WestNile_1_50_consensus_40	188	205	665	683
WestNile_1_50_consensus_40	188	205	765	781
WestNile_1_50_consensus_40	188	205	884	904
WestNile_1_50_consensus_40	188	205	1000	1020
WestNile_1_50_consensus_40	188	205	1114	1132
WestNile_1_50_consensus_40	188	205	1202	1219
WestNile_1_50_consensus_40	188	205	1300	1318
WestNile_1_50_consensus_40	188	205	1409	1430
WestNile_1_50_consensus_40	188	205	1521	1538
WestNile_1_50_consensus_40	188	205	1625	1643
WestNile_1_50_consensus_40	188	205	1706	1723
WestNile_1_50_consensus_40	188	205	1788	1809
WestNile_1_50_consensus_40	188	205	1891	1911
WestNile_1_50_consensus_40	188	205	1950	1967
WestNile_1_50_consensus_40	188	205	2056	2073
WestNile_1_50_consensus_40	188	205	2148	2167
WestNile_1_50_consensus_40	293	315	317	335
WestNile_1_50_consensus_40	293	315	417	437
WestNile_1_50_consensus_40	293	315	506	530
WestNile_1_50_consensus_40	293	315	598	617
WestNile_1_50_consensus_40	293	315	665	683
WestNile_1_50_consensus_40	293	315	765	781
WestNile_1_50_consensus_40	293	315	884	904
WestNile_1_50_consensus_40	293	315	1000	1020
WestNile_1_50_consensus_40	293	315	1114	1132
WestNile_1_50_consensus_40	293	315	1202	1219
WestNile_1_50_consensus_40	293	315	1300	1318
WestNile_1_50_consensus_40	293	315	1409	1430
WestNile_1_50_consensus_40	293	315	1521	1538
WestNile_1_50_consensus_40	293	315	1625	1643
WestNile_1_50_consensus_40	293	315	1706	1723
WestNile_1_50_consensus_40	293	315	1788	1809
WestNile_1_50_consensus_40	293	315	1891	1911
WestNile_1_50_consensus_40	293	315	1950	1967
WestNile_1_50_consensus_40	293	315	2056	2073
WestNile_1_50_consensus_40	293	315	2148	2167
WestNile_1_50_consensus_40	293	315	2233	2252
WestNile_1_50_consensus_40	393	415	417	437
WestNile_1_50_consensus_40	393	415	506	530
WestNile_1_50_consensus_40	393	415	598	617
WestNile_1_50_consensus_40	393	415	665	683
WestNile_1_50_consensus_40	393	415	765	781
WestNile_1_50_consensus_40	393	415	884	904
WestNile_1_50_consensus_40	393	415	1000	1020
WestNile_1_50_consensus_40	393	415	1114	1132
WestNile_1_50_consensus_40	393	415	1202	1219
WestNile_1_50_consensus_40	393	415	1300	1318
WestNile_1_50_consensus_40	393	415	1409	1430
WestNile_1_50_consensus_40	393	415	1521	1538
WestNile_1_50_consensus_40	393	415	1625	1643
WestNile_1_50_consensus_40	393	415	1706	1723
WestNile_1_50_consensus_40	393	415	1788	1809
WestNile_1_50_consensus_40	393	415	1891	1911
WestNile_1_50_consensus_40	393	415	1950	1967
WestNile_1_50_consensus_40	393	415	2056	2073
WestNile_1_50_consensus_40	393	415	2148	2167
WestNile_1_50_consensus_40	393	415	2233	2252
WestNile_1_50_consensus_40	393	415	2329	2346
WestNile_1_50_consensus_40	486	504	506	530
WestNile_1_50_consensus_40	486	504	598	617
WestNile_1_50_consensus_40	486	504	665	683
WestNile_1_50_consensus_40	486	504	765	781
WestNile_1_50_consensus_40	486	504	884	904
WestNile_1_50_consensus_40	486	504	1000	1020
WestNile_1_50_consensus_40	486	504	1114	1132
WestNile_1_50_consensus_40	486	504	1202	1219
WestNile_1_50_consensus_40	486	504	1300	1318
WestNile_1_50_consensus_40	486	504	1409	1430
WestNile_1_50_consensus_40	486	504	1521	1538
WestNile_1_50_consensus_40	486	504	1625	1643
WestNile_1_50_consensus_40	486	504	1706	1723
WestNile_1_50_consensus_40	486	504	1788	1809
WestNile_1_50_consensus_40	486	504	1891	1911
WestNile_1_50_consensus_40	486	504	1950	1967
WestNile_1_50_consensus_40	486	504	2056	2073
WestNile_1_50_consensus_40	486	504	2148	2167
WestNile_1_50_consensus_40	486	504	2233	2252
WestNile_1_50_consensus_40	486	504	2329	2346
WestNile_1_50_consensus_40	486	504	2440	2458
WestNile_1_50_consensus_40	577	596	598	617
WestNile_1_50_consensus_40	577	596	665	683
WestNile_1_50_consensus_40	577	596	765	781
WestNile_1_50_consensus_40	577	596	884	904
WestNile_1_50_consensus_40	577	596	1000	1020
WestNile_1_50_consensus_40	577	596	1114	1132
WestNile_1_50_consensus_40	577	596	1202	1219
WestNile_1_50_consensus_40	577	596	1300	1318
WestNile_1_50_consensus_40	577	596	1409	1430
WestNile_1_50_consensus_40	577	596	1521	1538
WestNile_1_50_consensus_40	577	596	1625	1643
WestNile_1_50_consensus_40	577	596	1706	1723
WestNile_1_50_consensus_40	577	596	1788	1809
WestNile_1_50_consensus_40	577	596	1891	1911
WestNile_1_50_consensus_40	577	596	1950	1967
WestNile_1_50_consensus_40	577	596	2056	2073
WestNile_1_50_consensus_40	577	596	2148	2167
WestNile_1_50_consensus_40	577	596	2233	2252
WestNile_1_50_consensus_40	577	596	2329	2346
WestNile_1_50_consensus_40	577	596	2440	2458
WestNile_1_50_consensus_40	577	596	2557	2576
WestNile_1_50_consensus_40	645	663	665	683
WestNile_1_50_consensus_40	645	663	765	781
WestNile_1_50_consensus_40	645	663	884	904
WestNile_1_50_consensus_40	645	663	1000	1020
WestNile_1_50_consensus_40	645	663	1114	1132
WestNile_1_50_consensus_40	645	663	1202	1219
WestNile_1_50_consensus_40	645	663	1300	1318
WestNile_1_50_consensus_40	645	663	1409	1430
WestNile_1_50_consensus_40	645	663	1521	1538
WestNile_1_50_consensus_40	645	663	1625	1643
WestNile_1_50_consensus_40	645	663	1706	1723
WestNile_1_50_consensus_40	645	663	1788	1809
WestNile_1_50_consensus_40	645	663	1891	1911
WestNile_1_50_consensus_40	645	663	1950	1967
WestNile_1_50_consensus_40	645	663	2056	2073
WestNile_1_50_consensus_40	645	663	2148	2167
WestNile_1_50_consensus_40	645	663	2233	2252
WestNile_1_50_consensus_40	645	663	2329	2346
WestNile_1_50_consensus_40	645	663	2440	2458
WestNile_1_50_consensus_40	645	663	2557	2576
WestNile_1_50_consensus_40	645	663	2647	2669
WestNile_1_50_consensus_40	742	763	765	781
WestNile_1_50_consensus_40	742	763	884	904
WestNile_1_50_consensus_40	742	763	1000	1020
WestNile_1_50_consensus_40	742	763	1114	1132
WestNile_1_50_consensus_40	742	763	1202	1219
WestNile_1_50_consensus_40	742	763	1300	1318
WestNile_1_50_consensus_40	742	763	1409	1430
WestNile_1_50_consensus_40	742	763	1521	1538
WestNile_1_50_consensus_40	742	763	1625	1643
WestNile_1_50_consensus_40	742	763	1706	1723
